Stimuli,Stress Pattern
GRASSk@dge,SW
MESSk@l,SW
GLUMpaedge,SS
MELT@dge,SW
MASK@k,SW
FLASKoash,SS
LIFTeig,SS
SCUMp@l,SW
CHIMPidge,SS
BLIND@the,SW
PASSkuk,SS
CLANd@k,SW
VILEd@p,SW
GRINtuth,SS
GULLsim,SS
PUMP@l,SW
DIMp@dge,SW
CHIMP@dge,SW
MUNCH@b,SW
FUNchoab,SS
SENSE@l,SW
TASK@dge,SW
SENSEul,SS
DULLp@sh,SW
TUSKom,SS
VINEd@sh,SW
STUMPol,SS
BINsib,SS
CHILDap,SS
MUNCHoab,SS
GALpaeb,SS
GUNteish,SS
HUSK@the,SW
GIFTudge,SS
MINTaup,SS
PULP@sh,SW
QUEENdardge,SS
SLIMpol,SS
TASKodge,SS
CLUMP@dge,SW
SCUMpul,SS
BRINEd@the,SW
FIENDarge,SS
MASKuk,SS
HINT@g,SW
LILTaug,SS
GELt@dge,SW
PILLtaug,SS
DUSKoadge,SS
RISK@m,SW
MISSk@l,SW
GLANDauk,SS
HINTeig,SS
KISSkom,SS
SINt@g,SW
CLANdauk,SS
LILT@g,SW
STAMP@dge,SW
SCALPaeb,SS
GLAND@k,SW
PLUSkaethe,SS
KISSk@m,SW
GRINt@th,SW
BINs@b,SW
GOALtul,SS
GLASSk@sh,SW
TRUSSk@m,SW
RISKom,SS
FENchoib,SS
DISK@l,SW
CLIFFtudge,SS
FLANdarth,SS
SHRIMPol,SS
GOALt@l,SW
RINSEib,SS
MELTaudge,SS
FLINTuth,SS
LIFT@g,SW
PRAMp@dge,SW
DRUMp@l,SW
SINteig,SS
FUSSk@dge,SW
FUSSkoadge,SS
PELT@sh,SW
PULPoash,SS
PASSk@k,SW
PILLt@g,SW
CHILD@p,SW
PULSE@m,SW
NUNt@the,SW
STAMPidge,SS
TRENCH@b,SW
FLANd@th,SW
VINEdarsh,SS
BLINDaethe,SS
JOLTul,SS
JOLT@l,SW
SLIMp@l,SW
DRUMpol,SS
TONchaithe,SS
DUSK@dge,SW
CLUMPaedge,SS
RIND@sh,SW
LUNCH@the,SW
GLASSkoash,SS
TUSK@m,SW
VILEdap,SS
NUNteithe,SS
CLIFFt@dge,SW
PRAMpidge,SS
STIFFteig,SS
THINtaup,SS
DISKael,SS
PLUSk@the,SW
HUSKaethe,SS
YELLteish,SS
DIMpidge,SS
GRUNT@the,SW
GLUMp@dge,SW
FUNch@b,SW
GRUNTeithe,SS
PUMPul,SS
FIEND@ge,SW
DULLpoash,SS
DESKael,SS
LUNCHaithe,SS
THINt@p,SW
BRINEdaethe,SS
RINSE@b,SW
STIFFt@g,SW
GUNt@sh,SW
FLASK@sh,SW
QUEENd@rdge,SW
PULSEim,SS
FLINT@th,SW
PELTeish,SS
SCALP@b,SW
GALp@b,SW
STUMP@l,SW
BLANDarthe,SS
FRONT@sh,SW
BLAND@the,SW
FRONTeish,SS
TRENCHoib,SS
MESSkael,SS
GIFT@dge,SW
DESK@l,SW
GELtaudge,SS
YELLt@sh,SW
GRASSkodge,SS
RINDarsh,SS
SHRIMP@l,SW
TRUSSkom,SS
MISSkael,SS
GLENsul,SS
MINT@p,SW
