Stimuli,Stress Pattern
tɪnsæf,SS
nʌmpədʒ,SW
wɪdθəm,SW
kɪskəl,SW
pʌɫpɔɪn,SS
fʌskoʊʤ,SS
daɫvuɫ,SS
pʌmpaʊdʒ,SS
dʌɫkæθ,SS
staɹkaup,SS
pælpæb,SS
pʌɫpən,SW
kænsuf,SS
dʌnʤəb,SW
tʌskəv,SW
pʌɫsɔm,SS
daɹkaup,SS
fʌntʃeɪθ,SS
blæntʃɛb,SS
fɪɫkəθ,SW
plʌskiv,SS
mɪɫkæθ,SS
dɛskəp,SW
tɹʌŋkɛm,SS
sɛɫvɔn,SS
gʌɫsɔm,SS
bɹʌntʃeɪp,SS
gɔntʃeθ,SS
rʌnθəm,SW
taʊnʤɔɪt,SS
taʊnʤət,SW
slæmpəʃ,SW
skʌɫpɔɪn,SS
skɔɹʃɔb,SS
gæskauʤ,SS
plæntʃəb,SW
tʃæmpoʊʃ,SS
plæntʃɛb,SS
saɫvuɫ,SS
fɹɛntʃəb,SW
dɛpθəm,SW
tʌntʃeɪp,SS
ɹɪnsæf,SS
flæskauʤ,SS
pɛntʃɔɪb,SS
tɛntʃəm,SW
lʌntʃɔb,SS
pɹɛskɛp,SS
sɛɫvən,SW
bʌnʤam,SS
bʌɫkəθ,SW
tɹɛntʃæm,SS
skɔɹʃəb,SW
glæskɛθ,SS
twɛɫvɔn,SS
twɛɫvən,SW
tɛntʃæm,SS
fɪfθəm,SW
kʌskəv,SW
laʊndʒɔɪt,SS
bʌnʤəm,SW
fʌskəʤ,SW
dʌnʤeɪb,SS
hʌskiv,SS
klɪfθaʊm,SS
dɛpθeɪm,SS
fɹɛntʃɔɪb,SS
lʌmpədʒ,SW
hɔɹʃɔb,SS
tʃænsuf,SS
hʌskəv,SW
tɪnsəf,SW
sʌntʃɔb,SS
stɛlθəm,SW
lʌndʒeɪb,SS
ʧɪnʤeɪp,SS
dɛskɛp,SS
klɪfθəm,SW
dʌɫkəθ,SW
daɹkəp,SW
θæŋkuf,SS
nʌmpædʒ,SS
stɔntʃəθ,SW
pælpəb,SW
fɪfθaʊm,SS
stɔntʃeθ,SS
slæmpoʊʃ,SS
kɪskɛl,SS
skælpæb,SS
wɪdθum,SS
bɹʌntʃəp,SW
pɹɛskəp,SW
gʌɫsəm,SW
lʌndʒəb,SW
skʌmpədʒ,SW
fʌntʃəθ,SW
saɫvəɫ,SW
stɛpθeɪm,SS
rɪskɛl,SS
mʌnθum,SS
tʌntʃəp,SW
pɪnʤəp,SW
sʌntʃəb,SW
daɫvəɫ,SW
pʌmpədʒ,SW
stɛlθaum,SS
fɹɪndʒup,SS
hɔɹʃəb,SW
laʊndʒət,SW
glæskəθ,SW
fɹɪndʒəp,SW
kɹɪnʤəp,SW
tæskəθ,SW
lʌmpædʒ,SS
mɪɫkəθ,SW
dʌskəʤ,SW
gɹʌnʤəm,SW
pɛntʃəb,SW
kɪdθəm,SW
gæskəʤ,SW
kɹʌntʃeɪθ,SS
kɹʌntʃəθ,SW
flæskəʤ,SW
gæŋkəf,SW
skʌmpaʊdʒ,SS
rʌnθum,SS
tɹɛntʃəm,SW
fɪɫkæθ,SS
tʃænsəf,SW
ʧɪnʤəp,SW
lʌntʃəb,SW
tɛlθaum,SS
tʌŋkɛm,SS
tɛlθəm,SW
bʌɫkæθ,SS
ɹɪnsəf,SW
pʌɫsəm,SW
tʌskɪv,SS
rɪskəl,SW
skʌɫpən,SW
kʌskɪv,SS
plʌskəv,SW
tʃæmpəʃ,SW
dʌskoʊʤ,SS
skælpəb,SW
mʌnθəm,SW
gæŋkuf,SS
gɔntʃəθ,SW
pɪnʤup,SS
θæŋkəf,SW
stɛpθəm,SW
blæntʃəb,SW
kɪdθum,SS
tæskɛθ,SS
staɹkəp,SW
kɹɪnʤeɪp,SS
tɹʌŋkəm,SW
kænsəf,SW
gɹʌnʤam,SS
