Condition,Word Count,Structure,Competitors
K,39037,C,Many
JH,6304,C,Few
P,18772,C,Many
CH,4884,C,Few
S,51011,C,Many
TH,2887,C,Few
V,10447,C,Few
SH,8611,C,Few
K EH,812,CV,Many
K AH,5744,CV,Many
JH AH,1146,CV,Few
P AH,1676,CV,Many
K AW,441,CV,Many
JH UW,266,CV,Few
CH EY,118,CV,Few
S AA,888,CV,Many
S AE,815,CV,Many
CH AE,252,CV,Few
P AE,927,CV,Many
CH AH,626,CV,Few
K IH,1705,CV,Many
K OW,2086,CV,Many
K IY,2224,CV,Many
CH OY,11,CV,Few
TH EY,26,CV,Few
S UW,597,CV,Many
P OW,691,CV,Many
TH AW,16,CV,Few
TH AH,369,CV,Few
V AH,1337,CV,Few
SH AH,3485,CV,Few
S AH,5062,CV,Many
JH EY,113,CV,Few
P AW,167,CV,Many
K UW,462,CV,Many
K AE,1904,CV,Many
V AA,518,CV,Few
P OY,130,CV,Many
JH OY,78,CV,Few
CH AA,198,CV,Few
JH AA,217,CV,Few
V UW,19,CV,Few
TH UW,22,CV,Few
SH AA,317,CV,Few
CH EH,459,CV,Few
K EH TH,1,CVC,Many
K AH V,183,CVC,Many
JH AH B,45,CVC,Few
K AH L,1433,CVC,Many
P AH N,278,CVC,Many
K EH L,134,CVC,Many
K AH M,711,CVC,Many
K AW JH,1,CVC,Many
JH UW P,8,CVC,Few
CH EY TH,0,CVC,Few
S AA M,43,CVC,Many
S AE F,21,CVC,Many
CH EY B,3,CVC,Few
P AH JH,19,CVC,Many
CH AE M,26,CVC,Few
P AE B,2,CVC,Many
P AH SH,3,CVC,Many
K AH JH,18,CVC,Many
CH AH P,10,CVC,Few
K IH V,7,CVC,Many
K OW JH,20,CVC,Many
K IY V,11,CVC,Many
CH OY B,0,CVC,Few
TH EY M,0,CVC,Few
CH EY P,0,CVC,Few
K AH TH,18,CVC,Many
S UW F,2,CVC,Many
P OW SH,3,CVC,Many
TH AW M,0,CVC,Few
TH AH M,63,CVC,Few
P AE JH,11,CVC,Many
V AH N,404,CVC,Few
K AH F,40,CVC,Many
CH AH M,37,CVC,Few
SH AH B,21,CVC,Few
V AH L,367,CVC,Few
S AH F,144,CVC,Many
JH EY P,0,CVC,Few
JH AH M,50,CVC,Few
P AH B,76,CVC,Many
JH AH T,55,CVC,Few
K AH P,153,CVC,Many
P AW JH,0,CVC,Many
K AW P,2,CVC,Many
K UW F,2,CVC,Many
K AE TH,46,CVC,Many
JH EY B,2,CVC,Few
JH AH P,10,CVC,Few
CH AH B,18,CVC,Few
CH AH TH,0,CVC,Few
S AH M,327,CVC,Many
K EH P,19,CVC,Many
V AA N,112,CVC,Few
P OY N,100,CVC,Many
JH OY T,0,CVC,Few
K EH M,78,CVC,Many
CH AA B,0,CVC,Few
JH AA M,11,CVC,Few
V UW L,3,CVC,Few
TH UW M,3,CVC,Few
SH AA B,8,CVC,Few
CH EH B,3,CVC,Few
