Stimuli,Stress Pattern,Phoneme Sequence,,
tɪnsæf,SS,S AE F,,
nʌmpədʒ,SW,P AH JH,,
wɪdθəm,SW,TH AH M,,
kɪskəl,SW,K AH L,,
pʌɫpɔɪn,SS,P OY N,,
fʌskoʊʤ,SS,K OW JH,,
daɫvuɫ,SS,V UW L,,
pʌmpaʊdʒ,SS,P AW JH,,
dʌɫkæθ,SS,K AE TH,,
staɹkaup,SS,K AW P,,
pælpæb,SS,P AE B,,
pʌɫpən,SW,P AH N,,
kænsuf,SS,S UW F,,
dʌnʤəb,SW,JH AH B,,
tʌskəv,SW,K AH V,,
pʌɫsɔm,SS,S AA M,,
daɹkaup,SS,K AW P,,
fʌntʃeɪθ,SS,CH EY B,,
blæntʃɛb,SS,CH EH B,,
fɪɫkəθ,SW,K AH TH,,
plʌskiv,SS,K IY V,,
mɪɫkæθ,SS,K AE TH,,
dɛskəp,SW,K AH P,,
tɹʌŋkɛm,SS,K EH M,,
sɛɫvɔn,SS,V AA N,,
gʌɫsɔm,SS,S AA M,,
bɹʌntʃeɪp,SS,CH EY P,,
gɔntʃeθ,SS,CH EY TH,,
rʌnθəm,SW,TH AH M,,
taʊnʤɔɪt,SS,JH OY T,,
taʊnʤət,SW,JH AH T,,
slæmpəʃ,SW,P AH SH,,
skʌɫpɔɪn,SS,P OY N,,
skɔɹʃɔb,SS,SH AA B,,
gæskauʤ,SS,K AW JH,,
plæntʃəb,SW,SH AH B,,
tʃæmpoʊʃ,SS,P OW SH,,
plæntʃɛb,SS,CH EH B,,
saɫvuɫ,SS,V UW L,,
fɹɛntʃəb,SW,CH AH B,,
dɛpθəm,SW,TH AH M,,
tʌntʃeɪp,SS,CH EY P,,
ɹɪnsæf,SS,S AE F,,
flæskauʤ,SS,K AW JH,,
pɛntʃɔɪb,SS,CH OY B,,
tɛntʃəm,SW,CH AH M,,
lʌntʃɔb,SS,CH AA B,,
pɹɛskɛp,SS,K EH P,,
sɛɫvən,SW,V AH N,,
bʌnʤam,SS,JH AA M,,
bʌɫkəθ,SW,K AH TH,,
tɹɛntʃæm,SS,CH AE M,,
skɔɹʃəb,SW,SH AH B,,
glæskɛθ,SS,K EH TH,,
twɛɫvɔn,SS,V AA N,,
twɛɫvən,SW,V AH N,,
tɛntʃæm,SS,CH AE M,,
fɪfθəm,SW,TH AH M,,
kʌskəv,SW,K AH V,,
laʊndʒɔɪt,SS,JH OY T,,
bʌnʤəm,SW,JH AH M,,
fʌskəʤ,SW,K AH JH,,
dʌnʤeɪb,SS,JH EY B,,
hʌskiv,SS,K IY V,,
klɪfθaʊm,SS,TH AW M,,
dɛpθeɪm,SS,TH EY M,,
fɹɛntʃɔɪb,SS,CH OY B,,
lʌmpədʒ,SW,P AH JH,,
hɔɹʃɔb,SS,SH AA B,,
tʃænsuf,SS,S UW F,,
hʌskəv,SW,K AH V,,
tɪnsəf,SW,S AH F,,
sʌntʃɔb,SS,CH OY B,,
stɛlθəm,SW,TH AH M,,
lʌndʒeɪb,SS,JH EY B,,
ʧɪnʤeɪp,SS,JH EY P,,
dɛskɛp,SS,K EH P,,
klɪfθəm,SW,TH AH M,,
dʌɫkəθ,SW,K AH TH,,
daɹkəp,SW,K AH P,,
θæŋkuf,SS,K UW F,,
nʌmpædʒ,SS,P AE JH,,
stɔntʃəθ,SW,CH AH TH,,
pælpəb,SW,P AH B,,
fɪfθaʊm,SS,TH AW M,,
stɔntʃeθ,SS,CH AH TH,,
slæmpoʊʃ,SS,P OW SH,,
kɪskɛl,SS,K EH L,,
skælpæb,SS,P AE B,,
wɪdθum,SS,TH UW M,,
bɹʌntʃəp,SW,CH AH P,,
pɹɛskəp,SW,K AH P,,
gʌɫsəm,SW,S AH M,,
lʌndʒəb,SW,JH AH B,,
skʌmpədʒ,SW,P AH JH,,
fʌntʃəθ,SW,CH AH TH,,
saɫvəɫ,SW,V AH L,,
stɛpθeɪm,SS,TH EY M,,
rɪskɛl,SS,K EH L,,
mʌnθum,SS,TH UW M,,
tʌntʃəp,SW,CH AH P,,
pɪnʤəp,SW,JH AH P,,
sʌntʃəb,SW,CH AH B,,
daɫvəɫ,SW,V AH L,,
pʌmpədʒ,SW,P AH JH,,
stɛlθaum,SS,TH AW M,,
fɹɪndʒup,SS,JH UW P,,
hɔɹʃəb,SW,SH AH B,,
laʊndʒət,SW,JH AH T,,
glæskəθ,SW,K AH TH,,
fɹɪndʒəp,SW,JH AH P,,
kɹɪnʤəp,SW,JH AH P,,
tæskəθ,SW,K AH TH,,
lʌmpædʒ,SS,P AE JH,,
mɪɫkəθ,SW,K AH TH,,
dʌskəʤ,SW,K AH JH,,
gɹʌnʤəm,SW,JH AH M,,
pɛntʃəb,SW,CH AH B,,
kɪdθəm,SW,TH AH M,,
gæskəʤ,SW,K AH JH,,
kɹʌntʃeɪθ,SS,CH EY TH,,
kɹʌntʃəθ,SW,CH AH TH,,
flæskəʤ,SW,K AH JH,,
gæŋkəf,SW,K AH F,,
skʌmpaʊdʒ,SS,P AW JH,,
rʌnθum,SS,TH UW M,,
tɹɛntʃəm,SW,CH AH M,,
fɪɫkæθ,SS,K AE TH,,
tʃænsəf,SW,S AH F,,
ʧɪnʤəp,SW,JH AH P,,
lʌntʃəb,SW,CH AH B,,
tɛlθaum,SS,TH AW M,,
tʌŋkɛm,SS,K EH M,,
tɛlθəm,SW,TH AH M,,
bʌɫkæθ,SS,K AE TH,,
ɹɪnsəf,SW,S AH F,,
pʌɫsəm,SW,S AH M,,
tʌskɪv,SS,K IH V,,
rɪskəl,SW,K AH V,,
skʌɫpən,SW,P AH N,,
kʌskɪv,SS,K IH V,,
plʌskəv,SW,K AH V,,
tʃæmpəʃ,SW,P AH SH,,
dʌskoʊʤ,SS,K OW JH,,
skælpəb,SW,P AH B,,
mʌnθəm,SW,TH AH M,,
gæŋkuf,SS,K UW F,,
gɔntʃəθ,SW,CH AH TH,,
pɪnʤup,SS,JH UW P,,
θæŋkəf,SW,K AH F,,
stɛpθəm,SW,TH AH M,,
blæntʃəb,SW,CH AH B,,
kɪdθum,SS,TH UW M,,
tæskɛθ,SS,K EH TH,,
staɹkəp,SW,K AH P,,
kɹɪnʤeɪp,SS,JH EY B,,
tɹʌŋkəm,SW,K AH M,,
kænsəf,SW,S AH F,,
gɹʌnʤam,SS,JH AA M,,
