Subject,Session,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,testEnd.DEVICE,testInstruction.DEVICE,Block,counterBalance,counterBalance.Cycle,counterBalance.Sample,Procedure[Block],Trial,consonant,isHighFreq,isTarget,Perception.DEVICE[Trial],Perception.Duration[Trial],Perception.OffsetTime[Trial],Perception.OnsetTime[Trial],Perception.RESP[Trial],Perception.RT[Trial],Perception.RTTime[Trial],Procedure[Trial],Production.DEVICE[Trial],Recording.Filename[Trial],Running[Trial],Stimuli[Trial],stressPattern,syllStr,targetWord,prodResp,isCorrect,sub_acc,wrd_acc,targetDUR,realRT,sub_rt,wrd_rt
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,1,v,n,y,SRBOX,3000,522198,520940,1,1246,522186,Procedure1,SRBOX,./recording/75_daɫvəɫ.wav,list3,daɫvəɫ,sw,cvc,doll,y,1,0.6125,0.560606061,0.440334408,805.665592,805.665592,805.665592
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,9,p,y,y,SRBOX,3000,551273,548273,,0,0,Procedure1,,,list3,skælpəb,sw,cvcc,scalp,n,0,0.6125,0.727272727,0.610340124,-610.340124,-610.340124,-610.340124
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,10,s,y,y,SRBOX,3000,552828,551373,1,1446,552819,Procedure1,Keyboard,./recording/75_tʃænsuf.wav,list3,tʃænsuf,ss,cvcc,chance,y,1,0.6125,0.636363636,0.514761905,931.238095,931.238095,931.238095
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,15,ch,n,y,SRBOX,3000,573590,570590,,0,0,Procedure1,,,list3,tɛntʃəm,sw,cvc,ten,n,0,0.6125,0.5,0.370660687,-370.660687,-370.660687,-370.660687
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,16,th,n,y,SRBOX,3000,574648,573673,1,971,574644,Procedure1,SRBOX,./recording/75_dɛpθəm.wav,list3,dɛpθəm,sw,cvcc,depth,y,1,0.6125,0.818181818,0.130570913,840.429087,840.429087,840.429087
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,19,th,n,y,SRBOX,3000,588806,585806,,0,0,Procedure1,,,list3,wɪdθum,ss,cvcc,width,n,0,0.6125,0.424242424,0.446770289,-446.770289,-446.770289,-446.770289
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,20,k,y,y,SRBOX,3000,590198,588906,1,1285,590191,Procedure1,SRBOX,./recording/75_tʌskɪv.wav,list3,tʌskɪv,ss,cvcc,tusk,y,1,0.6125,0.681818182,0.664977319,620.022681,620.022681,620.022681
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,26,ch,n,y,SRBOX,3000,612765,611890,1,856,612746,Procedure1,SRBOX,./recording/75_kɹʌntʃəθ.wav,list3,kɹʌntʃəθ,sw,cvcc,crunch,y,1,0.6125,0.757575758,0.355433817,500.566183,500.566183,500.566183
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,27,dz,n,y,SRBOX,3000,617078,616006,1,1065,617071,Procedure1,SRBOX,./recording/75_laʊndʒət.wav,list3,laʊndʒət,sw,cvcc,lounge,y,1,0.6125,0.787878788,0.504859099,560.140901,560.140901,560.140901
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,29,ch,n,y,SRBOX,3000,624378,623406,1,956,624362,Procedure1,SRBOX,./recording/75_sʌntʃɔb.wav,list3,sʌntʃɔb,ss,cvc,sun,y,1,0.6125,0.863636364,0.456141499,499.858501,499.858501,499.858501
