Stimuli,Stress Pattern
DULLpoash,SS
PLUSk@the,SW
PRAMpidge,SS
DESKael,SS
PELT@sh,SW
MESSkael,SS
GRUNTeithe,SS
RISK@m,SW
SCUMp@l,SW
PULPoash,SS
PASSk@k,SW
MINTaup,SS
SENSEul,SS
TRUSSkom,SS
DISK@l,SW
LILT@g,SW
GLASSk@sh,SW
LUNCHaithe,SS
KISSk@m,SW
HUSK@the,SW
GLASSkoash,SS
STAMPidge,SS
KISSkom,SS
DRUMp@l,SW
SINt@g,SW
GRINtuth,SS
BINs@b,SW
MELTaudge,SS
VINEdarsh,SS
FUSSk@dge,SW
STIFFteig,SS
PRAMp@dge,SW
TRENCHoib,SS
DIMpidge,SS
GRASSk@dge,SW
SHRIMPol,SS
GOALt@l,SW
FUSSkoadge,SS
BRINEd@the,SW
GIFTudge,SS
GIFT@dge,SW
LIFT@g,SW
MELT@dge,SW
LIFTeig,SS
PASSkuk,SS
MESSk@l,SW
GALp@b,SW
DUSK@dge,SW
NUNteithe,SS
QUEENdardge,SS
GALpaeb,SS
PUMPul,SS
VILEd@p,SW
GLAND@k,SW
BLANDarthe,SS
FRONTeish,SS
QUEENd@rdge,SW
RINSE@b,SW
DUSKoadge,SS
NUNt@the,SW
GLUMpaedge,SS
TONchaithe,SS
RINSEib,SS
SLIMp@l,SW
GLUMp@dge,SW
MASKuk,SS
HINT@g,SW
DISKael,SS
VINEd@sh,SW
STAMP@dge,SW
LUNCH@the,SW
CLANdauk,SS
CLUMP@dge,SW
GRASSkodge,SS
CLIFFt@dge,SW
GOALtul,SS
GULLsim,SS
HINTeig,SS
RINDarsh,SS
TASKodge,SS
THINtaup,SS
PLUSkaethe,SS
LILTaug,SS
PILLt@g,SW
CLIFFtudge,SS
RISKom,SS
FUNch@b,SW
SENSE@l,SW
BRINEdaethe,SS
CLUMPaedge,SS
STUMP@l,SW
SCUMpul,SS
CHILDap,SS
PILLtaug,SS
DULLp@sh,SW
HUSKaethe,SS
STIFFt@g,SW
MUNCHoab,SS
JOLTul,SS
PUMP@l,SW
STUMPol,SS
GLANDauk,SS
SHRIMP@l,SW
PULSEim,SS
JOLT@l,SW
GUNt@sh,SW
FLINT@th,SW
CHILD@p,SW
MISSkael,SS
FLANd@th,SW
FUNchoab,SS
TRUSSk@m,SW
BLINDaethe,SS
GUNteish,SS
PULSE@m,SW
FLASK@sh,SW
YELLt@sh,SW
FENchoib,SS
PELTeish,SS
FLINTuth,SS
RIND@sh,SW
PULP@sh,SW
THINt@p,SW
DIMp@dge,SW
BLAND@the,SW
SINteig,SS
CHIMPidge,SS
BLIND@the,SW
DRUMpol,SS
CHIMP@dge,SW
GELtaudge,SS
FIENDarge,SS
GRINt@th,SW
TUSKom,SS
DESK@l,SW
FRONT@sh,SW
SLIMpol,SS
MISSk@l,SW
MASK@k,SW
YELLteish,SS
SCALPaeb,SS
FLASKoash,SS
GRUNT@the,SW
MINT@p,SW
SCALP@b,SW
MUNCH@b,SW
CLANd@k,SW
TRENCH@b,SW
GLENsul,SS
TASK@dge,SW
GELt@dge,SW
TUSK@m,SW
VILEdap,SS
FLANdarth,SS
FIEND@ge,SW
BINsib,SS
