Condition,Word Count
T,45574
K,39037
CH,4884
S,51011
P,18772
D,30428
T AH,5672
K AH,5744
K AE,1904
CH AY,88
S EY,516
K OW,2086
P AH,1676
D AH,3692
T EY,1083
D AA,878
K AA,3316
T AA,1303
D AE,531
P AE,927
D AW,257
T AW,157
CH OY,11
S AH,5062
P OW,691
P IH,1317
P AA,1338
S IH,3644
CH AH,626
CH OW,87
T AH P,83
K AH L,1433
K AE L,268
CH AY TH,0
S EY M,11
K AH M,711
K OW SH,10
P AH L,529
D AH K,297
T EY G,11
D AA TH,1
K AA M,420
P AH JH,19
T AA TH,1
K AH JH,18
P AH SH,3
D AE P,19
P AE B,2
K OW JH,20
D AW K,1
T AW JH,0
T EY TH,0
T AH JH,34
CH OY B,0
S AH L,788
D AH JH,20
K AH TH,18
P AE JH,11
T AA JH,9
T AH SH,10
P OW SH,3
D AH TH,9
T EY SH,185
P IH JH,15
T AW G,0
D AA JH,10
P AA L,240
K AH SH,31
K AA JH,7
D AE TH,0
P AH B,76
K AH K,49
D AH P,49
S IH B,47
K AE TH,46
CH AH B,18
CH AH TH,0
D AH SH,13
S AH M,327
D AA SH,5
S IH M,227
T AA L,154
T AH G,123
T AH L,890
S AH B,392
T AW P,0
CH OW B,1
T AH TH,5
S EY B,27
