Subject,Session,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,testEnd.DEVICE,testInstruction.DEVICE,Block,counterBalance,counterBalance.Cycle,counterBalance.Sample,Procedure[Block],Trial,consonant,isHighFreq,isTarget,Perception.DEVICE[Trial],Perception.Duration[Trial],Perception.OffsetTime[Trial],Perception.OnsetTime[Trial],Perception.RESP[Trial],Perception.RT[Trial],Perception.RTTime[Trial],Procedure[Trial],Production.DEVICE[Trial],Recording.Filename[Trial],Running[Trial],Stimuli[Trial],stressPattern,syllStr,targetWord,prodResp,isCorrect,sub_acc,wrd_acc,targetDUR,realRT,sub_rt,wrd_rt,sequence
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,1,v,n,y,SRBOX,3000,522198,520940,1.0,1246,522186,Procedure1,SRBOX,./recording/75_daɫvəɫ.wav,list3,daɫvəɫ,sw,cvc,doll,y,1,0.6125,0.560606061,0.440334408,805.665592,805.665592,805.665592,V AH L
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,10,s,y,y,SRBOX,3000,552828,551373,1.0,1446,552819,Procedure1,Keyboard,./recording/75_tʃænsuf.wav,list3,tʃænsuf,ss,cvcc,chance,y,1,0.6125,0.636363636,0.514761905,931.238095,931.238095,931.238095,S UW F
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,16,th,n,y,SRBOX,3000,574648,573673,1.0,971,574644,Procedure1,SRBOX,./recording/75_dɛpθəm.wav,list3,dɛpθəm,sw,cvcc,depth,y,1,0.6125,0.818181818,0.130570913,840.429087,840.429087,840.429087,TH AH M
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,20,k,y,y,SRBOX,3000,590198,588906,1.0,1285,590191,Procedure1,SRBOX,./recording/75_tʌskɪv.wav,list3,tʌskɪv,ss,cvcc,tusk,y,1,0.6125,0.681818182,0.664977319,620.022681,620.022681,620.022681,K IH V
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,26,ch,n,y,SRBOX,3000,612765,611890,1.0,856,612746,Procedure1,SRBOX,./recording/75_kɹʌntʃəθ.wav,list3,kɹʌntʃəθ,sw,cvcc,crunch,y,1,0.6125,0.757575758,0.355433817,500.566183,500.566183,500.566183,CH AH TH
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,27,dz,n,y,SRBOX,3000,617078,616006,1.0,1065,617071,Procedure1,SRBOX,./recording/75_laʊndʒət.wav,list3,laʊndʒət,sw,cvcc,lounge,y,1,0.6125,0.787878788,0.504859099,560.140901,560.140901,560.140901,JH AH T
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,29,ch,n,y,SRBOX,3000,624378,623406,1.0,956,624362,Procedure1,SRBOX,./recording/75_sʌntʃɔb.wav,list3,sʌntʃɔb,ss,cvc,sun,y,1,0.6125,0.863636364,0.456141499,499.858501,499.858501,499.858501,CH OY B
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,30,ch,n,y,SRBOX,3000,628758,627606,1.0,1147,628753,Procedure1,SRBOX,./recording/75_lʌntʃɔb.wav,list3,lʌntʃɔb,ss,cvcc,lunch,y,1,0.6125,0.696969697,0.448836225,698.163775,698.163775,698.163775,CH AA B
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,42,k,y,y,SRBOX,3000,667403,666589,1.0,814,667403,Procedure1,Keyboard,./recording/75_kɪskɛl.wav,list3,kɪskɛl,ss,cvc,kiss,y,1,0.6125,0.909090909,0.41178617,402.21383,402.21383,402.21383,K EH L
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,43,k,y,y,SRBOX,3000,671731,670706,1.0,1024,671730,Procedure1,SRBOX,./recording/75_plʌskiv.wav,list3,plʌskiv,ss,cvc,plus,y,1,0.6125,0.666666667,0.602286633,421.713367,421.713367,421.713367,K IY V
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,46,p,y,y,SRBOX,3000,682428,681106,1.0,1321,682427,Procedure1,SRBOX,./recording/75_nʌmpædʒ.wav,list3,nʌmpædʒ,ss,cvc,numb,y,1,0.6125,0.53030303,0.498357651,822.642349,822.642349,822.642349,P AE JH
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,48,th,n,y,SRBOX,3000,690127,688739,1.0,1376,690115,Procedure1,SRBOX,./recording/75_kɪdθum.wav,list3,kɪdθum,ss,cvc,kid,y,1,0.6125,0.863636364,0.395836814,980.163186,980.163186,980.163186,TH UW M
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,50,th,n,y,SRBOX,3000,697470,696473,1.0,997,697470,Procedure1,SRBOX,./recording/75_fɪfθaʊm.wav,list3,fɪfθaʊm,ss,cvcc,fifth,y,1,0.6125,0.560606061,0.527940664,469.059336,469.059336,469.059336,TH AW M
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,54,th,n,y,SRBOX,3000,711139,709906,1.0,1232,711138,Procedure1,Keyboard,./recording/75_stɛlθaum.wav,list3,stɛlθaum,ss,cvcc,stealth,y,1,0.6125,0.5,0.555694706,676.305294,676.305294,676.305294,TH AW M
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,62,p,y,y,SRBOX,3000,739638,738423,1.0,1205,739628,Procedure1,Keyboard,./recording/75_skʌɫpən.wav,list3,skʌɫpən,sw,cvc,skull,y,1,0.6125,0.5,0.438906803,766.093197,766.093197,766.093197,P AH N
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,64,k,y,y,SRBOX,3000,748935,747489,1.0,1445,748934,Procedure1,SRBOX,./recording/75_fɪɫkəθ.wav,list3,fɪɫkəθ,sw,cvc,fill,y,1,0.6125,0.318181818,0.379301806,1065.698194,1065.698194,1065.698194,K AH TH
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,68,k,y,y,SRBOX,3000,762528,761373,1.0,1151,762524,Procedure1,SRBOX,./recording/75_gæskəʤ.wav,list3,gæskəʤ,sw,cvc,gas,y,1,0.6125,0.848484848,0.385228403,765.771597,765.771597,765.771597,K AH JH
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,70,ch,n,y,SRBOX,3000,769908,768839,1.0,1064,769903,Procedure1,Keyboard,./recording/75_gɔntʃeθ.wav,list3,gɔntʃeθ,ss,cvc,gone,y,1,0.6125,0.575757576,0.399532384,664.467616,664.467616,664.467616,CH EY TH
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,71,k,y,y,SRBOX,3000,774372,773123,1.0,1242,774365,Procedure1,SRBOX,./recording/75_tɹʌŋkəm.wav,list3,tɹʌŋkəm,sw,cvcc,trunk,y,1,0.6125,0.757575758,0.446801259,795.198741,795.198741,795.198741,K AH M
75,1,4/29/19,4/29/19 18:31,11:31:16,3.0.3.43,SRBOX,SRBOX,18,3,2,1,counterBalance3,72,ch,n,y,SRBOX,3000,778638,777589,1.0,1045,778634,Procedure1,Keyboard,./recording/75_plæntʃɛb.wav,list3,plæntʃɛb,ss,cvcc,plant,y,1,0.6125,0.318181818,0.491713802,553.286198,553.286198,553.286198,CH EH B
