Subject,counterBalance,counterBalance.Cycle,counterBalance.Sample,Running[Block],Trial,consonant,filename[Trial],filler,isHigh,isTarget,Perception.Duration[Trial],Perception.OffsetTime[Trial],Perception.OnsetTime[Trial],Perception.RESP[Trial],Perception.RT[Trial],Perception.RTTime[Trial],Running[Trial],Stimuli[Trial],strPattern,sylStr,targetWord,response,accuracy,subACC,wrdACC, targetDur,realRT,subRT,wrdRT,sequence,CV_freq
1,1,2,1,counterBalance,3,p,TP1_1-CVC-SW-1-PRAMp@dge.wav,target,y,,3000,1965177,1963221,1.0,1950,1965171,list1,PRAMp@dge,SW,CVC,PRAM,y,1,0.55,0.034482759,0.33036,1619.64,1619.64,1619.64,P AH,1676
1,1,2,1,counterBalance,10,p,TP1_4-CVC-SS-4-SLIMpol.wav,target,y,,3000,1987962,1986921,1.0,1041,1987962,list1,SLIMpol,SS,CVC,SLIM,y,1,0.55,0.568965517,0.48187,559.13,559.13,559.13,P AA,1338
1,1,2,1,counterBalance,13,k,TP1_5-CVC-SS-12-MISSkael.wav,target,y,,3000,1999727,1997354,1.0,2364,1999718,list1,MISSkael,SS,CVC,MISS,y,1,0.55,0.620689655,0.32601,2037.99,2037.99,1075.301765,K AE,1904
1,1,2,1,counterBalance,21,p,TP1_8-CVC-SW-7-DULLp@sh.wav,target,y,,3000,2026107,2024571,1.0,1530,2026101,list1,DULLp@sh,SW,CVC,DULL,y,1,0.55,0.431034483,0.30392,1226.08,1226.08,1226.08,P AH,1676
1,1,2,1,counterBalance,23,t,TP1_9-CVC-SS-22-GELtaudge.wav,target,n,,3000,2033447,2032421,1.0,1026,2033447,list1,GELtaudge,SS,CVC,GEL,y,1,0.55,0.74137931,0.33903,686.97,686.97,686.97,T AW,157
1,1,2,1,counterBalance,25,p,TP1_10-CVCC-SS-5-CLUMPaedge.wav,target,y,,3000,2041192,2039721,1.0,1470,2041191,list1,CLUMPaedge,SS,CVCC,CLUMP,y,1,0.55,0.568965517,0.34446,1125.54,1125.54,1125.54,P AE,927
1,1,2,1,counterBalance,28,k,TP1_11-CVCC-SW-14-HUSK@the.wav,target,y,,3000,2052108,2050604,1.0,1489,2052093,list1,HUSK@the,SW,CVCC,HUSK,y,1,0.55,0.534482759,0.39157,1097.43,1097.43,1097.43,K AH,5744
1,1,2,1,counterBalance,31,p,TP1_12-CVCC-SW-2-CHIMP@dge.wav,target,y,,3000,2063237,2061488,1.0,1738,2063226,list1,CHIMP@dge,SW,CVCC,CHIMP,y,1,0.55,0.431034483,0.3371,1400.9,1400.9,1400.9,P AH,1676
1,1,2,1,counterBalance,35,t,TP1_14-CVC-SS-30-CLIFFtudge.wav,target,n,,3000,2076731,2075738,1.0,993,2076731,list1,CLIFFtudge,SS,CVC,CLIFF,y,1,0.55,0.879310345,0.3529,640.1,640.1,640.1,T AA,1303
1,1,2,1,counterBalance,38,t,TP1_15-CVC-SW-23-PILLt@g.wav,target,n,,3000,2087783,2086088,1.0,1683,2087771,list1,PILLt@g,SW,CVC,PILL,y,1,0.55,0.655172414,0.23788,1445.12,1445.12,1445.12,T AH,5672
1,1,2,1,counterBalance,43,k,TP1_17-CVCC-SS-11-TUSKom.wav,target,y,,3000,2104986,2103338,1.0,1633,2104971,list1,TUSKom,SS,CVCC,TUSK,y,1,0.55,0.620689655,0.43791,1195.09,1195.09,1195.09,K AA,3316
1,1,2,1,counterBalance,48,d,TP1_19-CVCC-SW-34-BLAND@the.wav,target,n,,3000,2122185,2120571,1.0,1603,2122174,list1,BLAND@the,SW,CVCC,BLAND,y,1,0.55,0.551724138,0.34343,1259.57,1259.57,1259.57,D AH,3692
1,1,2,1,counterBalance,51,p,TP1_20-CVC-SS-6-GALpaeb.wav,target,y,,3000,2133312,2131571,1.0,1731,2133302,list1,GALpaeb,SS,CVC,GAL,y,1,0.55,0.25862069,0.32915,1401.85,1401.85,1401.85,P AE,927
1,1,2,1,counterBalance,53,d,TP1_21-CVCC-SS-33-BLINDaethe.wav,target,n,,3000,2140998,2139638,1.0,1351,2140989,list1,BLINDaethe,SS,CVCC,BLIND,y,1,0.55,0.879310345,0.43329,917.71,917.71,917.71,D AE,531
1,1,2,1,counterBalance,61,s,TP1_24-CVC-SS-18-GLENsul.wav,target,y,,3000,2169308,2167138,1.0,2153,2169291,list1,GLENsul,SS,CVC,GLEN,y,1,0.55,0.068965517,0.2899,1863.1,1863.1,1863.1,S AH,5062
1,1,2,1,counterBalance,64,k,TP1_25-CVCC-SS-13-DESKael.wav,target,y,,3000,2180226,2178704,1.0,1505,2180209,list1,DESKael,SS,CVCC,DESK,y,1,0.55,0.74137931,0.39713,1107.87,1107.87,1107.87,K AE,1904
1,1,2,1,counterBalance,66,t,TP1_26-CVC-SS-28-NUNteithe.wav,target,n,,3000,2187798,2186521,1.0,1261,2187782,list1,NUNteithe,SS,CVC,NUN,y,1,0.55,0.275862069,0.32146,939.54,939.54,939.54,T EY,1083
1,1,2,1,counterBalance,68,ch,TP1_27-CVCC-SS-39-MUNCHoab.wav,target,n,,3000,2195737,2194121,1.0,1615,2195736,list1,MUNCHoab,SS,CVCC,MUNCH,y,1,0.55,0.482758621,0.45999,1155.01,1155.01,1155.01,CH OW,87
1,1,2,1,counterBalance,71,d,TP1_28-CVC-SW-35-QUEENd@rdge.wav,target,n,,3000,2206394,2205121,1.0,1257,2206378,list1,QUEENd@rdge,SW,CVC,QUEEN,y,1,0.55,0.948275862,0.31881,938.19,938.19,938.19,D AA,878
1,1,2,1,counterBalance,73,t,TP1_29-CVC-SS-24-SINteig.wav,target,n,,3000,2214690,2212688,1.0,1998,2214686,list1,SINteig,SS,CVC,SIN,y,1,0.55,0.310344828,0.37397,1624.03,1624.03,1624.03,T EY,1083
1,1,2,1,counterBalance,79,d,TP1_31-CVCC-SW-32-CHILD@p.wav,target,n,,3000,2236286,2234854,1.0,1423,2236277,list1,CHILD@p,SW,CVCC,CHILD,y,1,0.55,0.724137931,0.40493,1018.07,1018.07,1018.07,D AH,3692
1,1,2,1,counterBalance,82,p,TP1_32-CVCC-SS-3-STUMPol.wav,target,y,,3000,2247537,2245688,1.0,1837,2247525,list1,STUMPol,SS,CVCC,STUMP,y,1,0.55,0.74137931,0.55593,1281.07,1281.07,1281.07,P AA,1338
1,1,2,1,counterBalance,90,t,TP1_35-CVC-SS-26-STIFFteig.wav,target,n,,3000,2273766,2272338,1.0,1428,2273766,list1,STIFFteig,SS,CVC,STIFF,y,1,0.55,0.948275862,0.4725,955.5,955.5,955.5,T EY,1083
1,1,2,1,counterBalance,95,d,TP1_37-CVCC-SW-36-RIND@sh.wav,target,n,,3000,2290358,2289321,1.0,1028,2290349,list1,RIND@sh,SW,CVCC,RIND,y,1,0.55,0.206896552,0.33511,692.89,692.89,692.89,D AH,3692
1,1,2,1,counterBalance,97,k,TP1_38-CVCC-SW-16-FLASK@sh.wav,target,y,,3000,2297998,2296655,1.0,1336,2297991,list1,FLASK@sh,SW,CVCC,FLASK,y,1,0.55,0.25862069,0.55326,782.74,782.74,782.74,K AH,5744
1,1,2,1,counterBalance,99,t,TP1_39-CVCC-SS-23-LILTaug.wav,target,n,,3000,2306008,2304321,1.0,1683,2306004,list1,LILTaug,SS,CVCC,LILT,y,1,0.55,0.103448276,0.313,1370.0,1370.0,1370.0,T AW,157
1,1,2,1,counterBalance,101,t,TP1_40-CVCC-SW-30-GIFT@dge.wav,target,n,,3000,2313588,2312321,1.0,1266,2313587,list1,GIFT@dge,SW,CVCC,GIFT,y,1,0.55,0.793103448,0.30744,958.56,958.56,958.56,T AH,5672
1,1,2,1,counterBalance,104,k,TP1_41-CVCC-SS-9-RISKom.wav,target,y,,3000,2324342,2322988,1.0,1349,2324337,list1,RISKom,SS,CVCC,RISK,y,1,0.55,0.827586207,0.37585,973.15,973.15,973.15,K AA,3316
1,1,2,1,counterBalance,106,t,TP1_42-CVCC-SW-26-LIFT@g.wav,target,n,,3000,2331761,2330638,1.0,1109,2331747,list1,LIFT@g,SW,CVCC,LIFT,y,1,0.55,0.896551724,0.40401,704.99,704.99,704.99,T AH,5672
1,1,2,1,counterBalance,109,d,TP1_43-CVC-SW-37-CLANd@k.wav,target,n,,3000,2344717,2342488,1.0,2227,2344715,list1,CLANd@k,SW,CVC,CLAN,y,1,0.55,0.396551724,0.32968,1897.32,1897.32,1897.32,D AH,3692
1,1,2,1,counterBalance,111,p,TP1_44-CVCC-SW-8-PUMP@l.wav,target,y,,3000,2352507,2351021,1.0,1476,2352497,list1,PUMP@l,SW,CVCC,PUMP,y,1,0.55,0.534482759,0.3074,1168.6,1168.6,1168.6,P AH,1676
1,1,2,1,counterBalance,114,p,TP1_45-CVCC-SS-1-STAMPidge.wav,target,y,,3000,2363498,2361921,1.0,1563,2363484,list1,STAMPidge,SS,CVCC,STAMP,y,1,0.55,0.879310345,0.57557,987.43,987.43,987.43,P IH,1317
1,1,2,1,counterBalance,126,k,TP1_50-CVC-SS-14-PLUSkaethe.wav,target,y,,3000,2402997,2400738,1.0,2257,2402995,list1,PLUSkaethe,SS,CVC,PLUS,y,1,0.55,0.344827586,0.35271,1904.29,1904.29,1904.29,K AE,1904
1,1,2,1,counterBalance,129,t,TP1_51-CVCC-SS-25-PELTeish.wav,target,n,,3000,2413878,2412405,1.0,1458,2413863,list1,PELTeish,SS,CVCC,PELT,y,1,0.55,0.551724138,0.42405,1033.95,1033.95,1033.95,T EY,1083
1,1,2,1,counterBalance,141,k,TP1_56-CVCC-SW-12-DISK@l.wav,target,y,,3000,2452398,2451055,1.0,1338,2452393,list1,DISK@l,SW,CVCC,DISK,y,1,0.55,0.396551724,0.41842,919.58,919.58,919.58,K AH,5744
